timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1706734828499,239,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,1,1,239,0,69
1706734828741,234,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,1,1,234,0,76
1706734828976,224,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,2,2,224,0,67
1706734828999,231,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,2,2,231,0,72
1706734829200,231,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,2,2,231,0,73
1706734829231,212,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,2,2,212,0,61
1706734829431,221,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,3,3,221,0,70
1706734829444,242,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1288,3,3,242,0,72
1706734829499,230,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1289,3,3,230,0,74
1706734829653,226,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1288,3,3,226,0,68
1706734829687,234,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,3,3,234,0,81
1706734829729,221,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1289,3,3,221,0,69
1706734829880,230,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,4,4,230,0,68
1706734829921,227,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,4,4,227,0,72
1706734829950,228,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1289,4,4,228,0,70
1706734829999,218,Detect Request,200,OK,Middleware notificacao 1-7,text,true,,239,1289,4,4,218,0,67
1706734830111,236,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,4,4,236,0,80
1706734830148,222,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,4,4,222,0,68
1706734830179,231,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1289,4,4,231,0,78
